Optimization Level, Run Number, Cycles, Instructions, Clock Speed (GHz), Branch Misses, Execution time(s)
0, 1, 1160859452, 973327728, 1.101, 3968461, 1.059864012
0, 2, 1155086493, 973310654, 1.162, 3957237, 0.997677849
0, 3, 1174848366, 973310665, 1.162, 3957254, 1.014205923
0, 4, 1156044643, 973310607, 1.161, 3957222, 0.999018262
0, 5, 1156591144, 973310752, 1.162, 3957423, 0.998852794
1, 1, 1172077776, 973310700, 1.162, 3959321, 1.016004355
1, 2, 1156894933, 973310652, 1.161, 3957469, 0.999693051
1, 3, 1161719086, 973327043, 1.156, 3968424, 1.008340628
1, 4, 1155761625, 973310817, 1.161, 3960072, 1.001008828
1, 5, 1161637430, 973326849, 1.156, 3968419, 1.008042608
2, 1, 1155206356, 973310559, 1.104, 3957983, 1.053160436
2, 2, 1156413283, 973310877, 1.161, 3957370, 0.999377062
2, 3, 1161576178, 973327254, 1.157, 3968410, 1.007875629
2, 4, 1156753277, 973310682, 1.162, 3956923, 0.999149301
2, 5, 1156641289, 973310925, 1.161, 3957194, 0.999347843
3, 1, 1153639647, 973327274, 1.151, 3982544, 1.010994368
3, 2, 1161501507, 973327304, 1.157, 3968550, 1.007573962
3, 3, 1156698096, 973310758, 1.161, 3957307, 0.999792997
3, 4, 1155895280, 973310581, 1.161, 3959115, 0.999492946
3, 5, 1161289140, 973327249, 1.157, 3968514, 1.006741049
