Optimization Level, Run Number, Cycles, Instructions, Clock Speed (GHz), Branch Misses, Execution time(s)
1, 1, 1161826828, 973327967, 1.102, 3970226, 1.059631299
1, 2, 1155725083, 973310567, 1.161, 3959303, 0.998661019
1, 3, 1171907390, 973310630, 1.107, 3957220, 1.062841601
1, 4, 1156537746, 973310522, 1.161, 3959392, 0.999281798
1, 5, 1156239200, 973310599, 1.106, 3957112, 1.049253674
2, 1, 1104905760, 873712955, 1.155, 3970113, 0.961485248
2, 2, 1083005943, 873697824, 1.159, 3957649, 0.937619385
2, 3, 1082773219, 873697716, 1.160, 3957389, 0.937035792
2, 4, 1099358521, 873697916, 1.160, 3960232, 0.950924187
2, 5, 1083445133, 873697765, 1.159, 3957337, 0.937931987
4, 1, 1059381818, 835702394, 1.094, 3969410, 0.973716720
4, 2, 1043207692, 835701436, 1.153, 3967571, 0.908328538
4, 3, 1038742017, 835686880, 1.158, 3956942, 0.900562832
4, 4, 1053602205, 835686817, 1.158, 3960038, 0.912710137
4, 5, 1053801085, 835686996, 1.158, 3957768, 0.913027012
8, 1, 1016724406, 819630660, 1.157, 3957563, 0.883804290
8, 2, 1016618757, 819630474, 1.157, 3956887, 0.881453984
8, 3, 1016535445, 819630592, 1.157, 3957119, 0.882332211
8, 4, 1031668911, 819630614, 1.158, 3960099, 0.894471444
8, 5, 1016662075, 819630661, 1.157, 3957428, 0.881818098
